id,prompt,response,topic,topic_label
15464f12481fd2057f7a8205a42e03e8,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,They gave us charts and information that shows which one of the two ways looking at the bar graphs is more accurate than the other and which one people prefer.,0,0_3d_the_graphs_2d
2800ab155946ad01714a453f448edbae,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I think the presentation was the easiest to understand. It explained the true meaning of the study in simple terms. When we participated and did the reflection we weren't given any background really at all.,7,7_and_the_study_me
43c3004415a1e8390ac4e7df8d06a292,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"During the participation and post-study reflection, I was confused because I still didn't know the purpose of the experiment. Now after watching the presentation and reading the extended abstract, I am less confused about how reading different types of graphs can change how you perceive the graph.",9,9_the_how_see_and
ac84a9f9bf782186eb9d99d16955829e,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"Each one had a different way of getting you to understand the study and what it was trying to convey. The abstract was more wordage to tell you what it was about, participation was to actually do the study, presentation was to see a more visual explanation and the reflection helped to look back on what it was really about. ",7,7_and_the_study_me
aeba272ceb1baf26b7b4c08fa3ee35cf,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,I didn’t know all of the graphs had a specific ratio. I also didn’t realize there were two research questions that were being tested.,0,0_3d_the_graphs_2d
e10940ba21e35ac5beab38226043f386,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"The information that I gained from the components of this project differs when looking at participation and post-study reflection. With both of these I think I was clueless about the study going into it and now that it is over I see the what and why. I also think that the extended abstract and the presentation differ because the way that the experiment was presented to us seemed very simple, yet the abstract of the behind the scenes was much more complicated I think.",1,1_the_and_was_experiment
03ddc01c8e0322900ff341a10a5a2bd6,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"I felt when I was participating, I wasn't exactly sure what was being tested. As I completed the post-study reflection, and watched the presentation reflection, I got a better idea. At first, I thought the experimenters were testing to see if 3D models gave a more accurate result, but after watching the presentation I now know they were testing to see if 2D models have more accurate results. ",-1,Outlier
103c8ad3a3979d478b0470c755d935f2,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"When hearing about all the background information and why the researchers did what they did for specific purposes it was interesting to see how taking a quiz about different block sizes, the researchers were looking at it from a deeper perspective. Another thing that surprised me were about the specific equations given for the experiment and how it related back to the 3D graphs.",-1,Outlier
32fafb3c803648334e912180cd1956ca,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,The information that I gained from the components of this project because I as not entirely sure what was going on when participating in the experiment itself. As I did the other pieces of work after the experiment it made more sense to me what was being evaluated. I found more information from the post study reflection and the extended abstract that the participation.,1,1_the_and_was_experiment
47f3d89fb773c0f3c1155891cc0207d3,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,"To start, participating in the experiment left me a bit confused simply because I was there to do something, not necessarily knowing the background to it. The post-study reflection made me sit down and think about what was going on behind the scenes. The extended abstract gave me a breakdown of what the experiment was about, why they did it, and how they did it. Lastly, the presentation gave me the study's results. ",1,1_the_and_was_experiment
