question,n_documents,n_outliers,outlier_rate,n_topics_excluding_outlier,has_probabilities,exported_document_topic_probabilities
q1,632,172,0.2721518987341772,11,True,True
q10,405,48,0.11851851851851852,5,True,True
q11,405,4,0.009876543209876543,5,True,True
q2,521,47,0.09021113243761997,7,True,True
q3,517,135,0.2611218568665377,6,True,True
q4,517,129,0.2495164410058027,8,True,True
q5,515,90,0.17475728155339806,10,True,True
q6,514,61,0.11867704280155641,10,True,True
q7,495,107,0.21616161616161617,10,True,True
q8,405,61,0.1506172839506173,11,True,True
q9,404,1,0.0024752475247524753,3,True,True
