document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4
0,How do you know whether or not your response is accurate if you’re just making an estimate. Giving the answer after each one and then seeing if you were closer looking at it in 2d or 3d,1.0,4.557150266277675e-309,4.23332029516517e-309,3.29305055783735e-309,3.49800966551214e-309
1,I think this study has a big possibility for confounding variables because it's only being sent to STAT218 students. A smarter idea could have been sending this study out to all students on campus.,9.12036260987759e-309,1.054959165758171e-308,1.0,1.2183489662007227e-308,1.8491027890067794e-308
2,Maybe to explain the experiment better to the participants I walked in completely blind but I feel like it could have had a more thorough procedure.,1.3117228590157894e-308,1.0,9.495204548392077e-309,8.068148573074205e-309,7.713161889650944e-309
3,I don't really have any critiques of the study; I thought it was pretty interesting and it was made easy to understand. One thing that could have made it better was to actually see the results from our class that did the study which I thought would have been interesting to see.,0.04177208691231442,0.04731027182652332,0.07528141368386357,0.5060885478937566,0.07669348255809764
4,"The only critique I have is that as a participant, it was difficult to discern what the different heights were because there were no markings. If there were markings at like 25,50, and 75, it would have been much easier to estimate the difference. Also, for repetition’s sake, I would make each graph appear different, like instead of just one color, make the different bars colored differently, that way, it’s easy to keep the participants attention.",0.688024756104098,0.09698170810466125,0.08351189826778814,0.06359140563184502,0.0678902318916074
5,A critique that I think might have made this study better would be to possibly do a second round of the same students with different 3D graphics. This might give a larger range of answers. It also might show an increase in students' ability to answer the questions quicker.,1.0,4.64081440821992e-309,4.372704356574314e-309,3.38014805902773e-309,3.57139470571557e-309
6,"I think having a very clear introduction into a little bit of what the research is, would help. I felt a little confused when I was filling out the survey/experiment.",0.11000534086921268,0.3109945619224334,0.11028480319473846,0.07973958408158181,0.09313325566364912
7,Something that would have made the study better is having all of the graphs online instead of some online and some in person because at least for me it seemed like it was the same consistancy if I would have done it all online or not. Also it would definitely  save you some time without having to get a kit. I know some other people are visual learners and do better with hands-on experiments but personally I think this experiment could have been all online.,1.0,6.637090324024153e-309,5.471567380949664e-309,4.08373181750217e-309,4.470292979888833e-309
8,I think that the study is very interesting and was not very clearly explained at first. I think that the study would have been better if all the students did the experiment on the same day so that the results are the most accurate as possible.,0.1347365774770012,0.19026339267520392,0.14189522886792943,0.0796061989598326,0.08310017418910198
9,"I don't necessarily have critiques on the study, I feel like it was well-designed and well-thought-out. I do feel like maybe open the experiment to other groups as well since the stats department isn't the only ones using Microsoft Excel.",0.04370927302168346,0.0482517218297326,0.09307975012702847,0.3044191522067082,0.0821422347239487
10,I don't have any critiques. I don't have any suggestions on how to make it better. It was pretty well planned out.,0.05906146563336585,0.07258339116556854,0.08510016543044331,0.5794108131397231,0.09866204650442019
11,"I think maybe knowing why we had to do it before we did it. I heard a lot of people just going through it as quick as they could because they had no idea why we even had to do it. If we knew that we were a part of an experimental design, we probably would put more care and effort into it.",0.1206187744837469,0.3301858357715563,0.09694398634716837,0.06888056539793395,0.07630961536362317
12,I don't have any suggestions other than I didn't really know why or the application of the study until now.,0.08507433762316659,0.11203442249862179,0.13135711089844254,0.13610933686064333,0.12653116054610605
13,I believe that there should be an experimenter present to make sure that subjects follow the instructions closely. I for example used my finger to measure the ratio and just realized that that should not have happened after reading the abstract.,1.2719743206747446e-308,1.0,1.051653172859576e-308,8.206636390563323e-309,8.4498574566299e-309
14,I do not have any critiques. I don't think I am know ledged enough to contribute any significant criticism.,0.05842220201056428,0.07188948082832314,0.08363711299373769,0.585189255061622,0.09567983097927378
15,"I would like to see more confounding variables that ensure validity and reliability of the stimuli. Also, it's difficult to take such a large group of diverse students as some may have learning difficulties that aren't mentioned or addressed in the study.",0.08685064621996791,0.0970865904680973,0.1654511505212243,0.12810494337909498,0.11939625468815175
16,I think talking about this study and conducting this in class would have helped. I think I would have tried to be more precise if I knew more about what this study was for and how we were expected to complete it. I think I also would have felt less rushed if it was in class and not on my own time. I took it right after class and before I had work. Therefore I think I felt a little rushed and maybe didn't think about the differences/ answers I put.,0.1305489606164995,0.3539108492681016,0.10993501357929855,0.08521713168974848,0.09061982112941763
17,I found the in person experiment part of this study to be the easiest. Though it was quite repetitive. That may be part of the point but lots of the questions and graph answers were almost the same.,0.879719617940855,0.039299273150506124,0.03150638524296102,0.023617916152435074,0.025856807513242895
18,"If possible, to obtain a more diverse group, potentially include a larger range for the age group. A majority of the students in STATS are between the ages of 19-23.  In addition, I feel like having a better explanation of the purpose of the experiment. When I was participating in the experiment I was at first confused about what the purpose was and I feel like that caused me to get distracted.",0.11253431024035436,0.10006486503793187,0.20751404980079152,0.0855694789552182,0.08732177821234965
