document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
0,They gave us charts and information that shows which one of the two ways looking at the bar graphs is more accurate than the other and which one people prefer.,1.0,1.1021930462311266e-308,8.939549433141016e-309,1.1601892363608044e-308,8.161784563378457e-309,8.543426685018033e-309,9.099084054230265e-309,7.742209523585944e-309,9.237384448526266e-309,9.42264730565247e-309,8.49711191601495e-309
1,I think the presentation was the easiest to understand. It explained the true meaning of the study in simple terms. When we participated and did the reflection we weren't given any background really at all.,0.016780632136574332,0.07522314927106356,0.2067234596630111,0.058948800115724946,0.04888228945584596,0.09423828328298442,0.11750744409125358,0.07405248601017358,0.06854782807363827,0.038996355565094926,0.06711956665022635
2,"During the participation and post-study reflection, I was confused because I still didn't know the purpose of the experiment. Now after watching the presentation and reading the extended abstract, I am less confused about how reading different types of graphs can change how you perceive the graph.",1.0,1.0767625095571522e-308,8.727948604064253e-309,1.1127485554808763e-308,8.042251581989493e-309,8.359715302437605e-309,8.797887132928075e-309,7.67614424587137e-309,8.89675197645054e-309,9.13698252892969e-309,8.393431122016124e-309
3,"Each one had a different way of getting you to understand the study and what it was trying to convey. The abstract was more wordage to tell you what it was about, participation was to actually do the study, presentation was to see a more visual explanation and the reflection helped to look back on what it was really about.",0.01634219852172022,0.05440627608845271,0.14123749328641622,0.051812384670297716,0.06097230921421744,0.22139997428644634,0.12573668675356778,0.08489685459480804,0.07632770388180564,0.04133910911777392,0.051530779296309635
4,I didn’t know all of the graphs had a specific ratio. I also didn’t realize there were two research questions that were being tested.,0.721765384149643,0.033537141835014946,0.02708687250751315,0.03501258497226013,0.02463787391191818,0.025729605012763182,0.02722384512740357,0.0234569010148103,0.027632352679278594,0.028131574756456994,0.025785864032938033
5,"The information that I gained from the components of this project differs when looking at participation and post-study reflection. With both of these I think I was clueless about the study going into it and now that it is over I see the what and why. I also think that the extended abstract and the presentation differ because the way that the experiment was presented to us seemed very simple, yet the abstract of the behind the scenes was much more complicated I think.",0.008965532326824715,0.022668457988277418,0.026987639814598802,0.029592433700930523,0.5764281882052301,0.052368444054234395,0.030060569964177903,0.048611772950622766,0.030784216466537007,0.030170897830965375,0.024552691765579834
6,"I felt when I was participating, I wasn't exactly sure what was being tested. As I completed the post-study reflection, and watched the presentation reflection, I got a better idea. At first, I thought the experimenters were testing to see if 3D models gave a more accurate result, but after watching the presentation I now know they were testing to see if 2D models have more accurate results.",0.039282575073234384,0.061685377006336,0.0388437461746204,0.08053630188743352,0.0295861797504548,0.036649642671391966,0.043000384500231394,0.02838249363631955,0.041109411666321975,0.03623273617711108,0.03431425773925453
7,"When hearing about all the background information and why the researchers did what they did for specific purposes it was interesting to see how taking a quiz about different block sizes, the researchers were looking at it from a deeper perspective. Another thing that surprised me were about the specific equations given for the experiment and how it related back to the 3D graphs.",0.15552135334815287,0.07932564245074923,0.05631334133517967,0.09296057647438186,0.049127646131827005,0.05551564144520126,0.06059069106665837,0.045571088815097006,0.06071559192564433,0.05990436976552799,0.052555498720326894
8,The information that I gained from the components of this project because I as not entirely sure what was going on when participating in the experiment itself. As I did the other pieces of work after the experiment it made more sense to me what was being evaluated. I found more information from the post study reflection and the extended abstract that the participation.,0.01643873209305351,0.050082449056186897,0.054488074014518134,0.06348891521200524,0.1382987941468034,0.11981700259758798,0.05090659878687592,0.08764130846946351,0.054024607957434474,0.05102391236811937,0.05476506577953053
9,"To start, participating in the experiment left me a bit confused simply because I was there to do something, not necessarily knowing the background to it. The post-study reflection made me sit down and think about what was going on behind the scenes. The extended abstract gave me a breakdown of what the experiment was about, why they did it, and how they did it. Lastly, the presentation gave me the study's results.",0.016993296565594694,0.11353884028197182,0.23623826480810878,0.06138535939008058,0.041972391422261945,0.06460806941531964,0.08359812360962018,0.05766303728964779,0.05199910781734924,0.033058570393839984,0.06466169986779116
10,"They differed because each one asked for different things. Even though the information was combined into one study, the presentation, abstract, reflection, and participation were different. They each used different types of learning to gather information from the students taking the introduction to stats class.",0.01574364071923314,0.0507606573810452,0.12043477950510535,0.05053776205531068,0.06060736064698127,0.2522362424679809,0.13027039602343443,0.07945247866044597,0.07682022052762737,0.04104264156105829,0.04809559016359294
11,"At first, I just had to guess why we were doing then, then I actually got to know why, and the information behind it. Especially during the participation part, I was extremely confused, but the extended abstract helped with that.",0.013784966854307511,0.05186078844169474,0.06241233412365803,0.06675596223037694,0.04475616955982969,0.12604734541667695,0.09024095777932166,0.04651270857020691,0.08474964225412802,0.04042830151765535,0.0443547924726302
12,There was a difference in the way of conveying the information between each component. The participation used 3D models and hands on learning while the abstract was reading based.,0.01587637336996659,0.054014804451532956,0.12605450496021253,0.04870742427365165,0.07347691061284639,0.23292746593364258,0.09471130678802057,0.11518149787085985,0.06726299958623422,0.040915034460486416,0.0568734474043619
13,"I do not believe much of the information was different from the rest of the projects. However, I do prefer this method over the rest of them.",0.015128153806765196,0.033954070117236,0.03716452934281061,0.05646536490912888,0.44226432606514127,0.07426921778857759,0.04549113621533548,0.058547322767306946,0.05342242459563737,0.06257271752651497,0.03462190539325946
14,This was easier to understand. It was communicated more simpler compared to the abstract.,0.013481612316233217,0.042045970087568725,0.06044034477035663,0.04883623764030996,0.048437856587395675,0.13064410481393918,0.30431483570162465,0.049629725679477515,0.08153892666997774,0.044193549295240615,0.03704107007287659
15,"Participation involves engaging in the study itself and providing feedback. Post-study delved into the subjective experiences and potential limitations noticed during the process. Extended abstract was condensed as a version of the study that highlighted key points such as the objectives, methods, results, and conclusions. Finally, the presentation offered more of an interactive overview of the study that emphasized the key findings and implications.",9.02515792545608e-309,4.011861461613905e-308,3.132826403270552e-308,1.7663177800407943e-308,2.171701160018431e-308,2.1019450372177926e-308,2.106921330976914e-308,5.734112324401757e-308,1.685962677351114e-308,1.462736151253238e-308,1.0
