topic,rank,word,score
-1,1,learned,0.36497542385134835
-1,2,did,0.28726016992242726
-1,3,lot,0.26752865623277
-1,4,better,0.26087559487421313
-1,5,information learned,0.25913103569190643
-1,6,understand,0.25649181599153054
-1,7,learn,0.24479427373278057
-1,8,experiment learned,0.24287864845036877
-1,9,just,0.23913957552860474
-1,10,able,0.23864012968222575
0,1,3d,0.36827416504484584
0,2,2d,0.34886622226105735
0,3,graphs,0.3457529981833912
0,4,graph,0.2911002680755403
0,5,3d graphs,0.2855951561822268
0,6,charts,0.25450112881107945
0,7,printed,0.2531726553514555
0,8,perception,0.2501767171129873
0,9,accurate,0.24868159227281866
0,10,bar,0.24733063988020526
1,1,experimental,0.30649731619066467
1,2,statistical,0.2909994357908227
1,3,design,0.2880750337794565
1,4,component,0.2880109719767772
1,5,focused,0.28622518091207827
1,6,reflecting,0.27270317114821035
1,7,experiment,0.268266271076686
1,8,understanding,0.2673397591695685
1,9,experiement,0.2672376660502438
1,10,process,0.25924753714085413
2,1,study reflection,0.314653391839251
2,2,post study,0.31252075916172095
2,3,post,0.3092264860303988
2,4,reflection,0.2872493315384801
2,5,participant,0.27908571530306725
2,6,extended abstract,0.2778426535681755
2,7,extended,0.27692256308419094
2,8,design,0.2642480608790689
2,9,conclusion,0.2600040536020137
2,10,study,0.25608375624133556
3,1,experiment,0.34680396970167005
3,2,differed,0.29811519446265117
3,3,video,0.2840051611548114
3,4,information reflected,0.2700488221386353
3,5,realizing,0.2700488221386353
3,6,experiment point,0.2700488221386353
3,7,round,0.2700488221386353
3,8,credit,0.2700488221386353
3,9,start finish,0.2700488221386353
3,10,extra credit,0.2700488221386353
4,1,components,0.48691502347850185
4,2,gained components,0.44548829189740363
4,3,components project,0.4144416059251559
4,4,project,0.40263733556923575
4,5,information gained,0.37172449705181504
4,6,differed,0.3589831469445165
4,7,gained,0.3542217671186067
4,8,components differed,0.3462674074871217
4,9,project differed,0.34621011319401424
4,10,differ,0.3358598498115351
5,1,participation,0.3094945960857041
5,2,allowed,0.30373099704563156
5,3,nice,0.292680415049762
5,4,times,0.28064923498288
5,5,different,0.2719405978609607
5,6,gave,0.2707603632718653
5,7,abstract,0.26780385590467787
5,8,detailed,0.26758996415139763
5,9,did,0.2664201515127085
5,10,abstract presentation,0.263316923699882
6,1,informative,0.3779450460306384
6,2,presentation informative,0.3255744242451058
6,3,explaining,0.3230923669064266
6,4,abstract,0.32016837066612885
6,5,abstract abstract,0.3085908378625883
6,6,simpler,0.3085908378625883
6,7,results abstract,0.3085908378625883
6,8,really helped,0.3085908378625883
6,9,little confused,0.3085908378625883
6,10,participation post,0.3068323936630584
7,1,helped,0.3886516847480201
7,2,project,0.3707123859595354
7,3,writing,0.36527077781220474
7,4,ve,0.34526078243776354
7,5,reflection think,0.3371857409568599
7,6,presentation helped,0.3300098935303938
7,7,view,0.32914089442088124
7,8,things,0.3208883356285245
7,9,ideas,0.31633377284547054
7,10,contributes,0.30700002567616363
8,1,kits,0.5088635988705874
8,2,different kits,0.49858646959493275
8,3,like,0.42683078105243427
8,4,confusing,0.40470404016659833
8,5,conduct,0.3879024690346279
8,6,people went,0.3879024690346279
8,7,wrong participation,0.3879024690346279
8,8,cause like,0.3879024690346279
8,9,knowledge gaining,0.3879024690346279
8,10,know doing,0.3879024690346279
9,1,pictures,0.6359851748656914
9,2,values,0.6011451022940539
9,3,study differed,0.5703008972891892
9,4,differed,0.5365603266483736
9,5,recorded,0.5123367139808602
9,6,recorded values,0.5123367139808602
9,7,values value,0.5123367139808602
9,8,researchers work,0.5123367139808602
9,9,values verse,0.5123367139808602
9,10,value plot,0.5123367139808602
10,1,personal,0.3869980493451292
10,2,findings,0.3703235821819424
10,3,insights,0.36276609770727747
10,4,key,0.36202689332715376
10,5,engagement,0.3519152425319464
10,6,provided,0.35052223864907955
10,7,highlighted,0.3481710194686398
10,8,involves,0.3338587935255924
10,9,feedback,0.3338587935255924
10,10,experience,0.33278577240722274
