question,column_index,vectorizer_min_df,vectorizer_max_df,ngram_range,mmr_diversity,umap_n_neighbors,umap_n_components,hdbscan_min_cluster_size,hdbscan_min_samples
Q1,13,5,0.7,"(1,2)",0.9,10,10,15,3
Q2,8,3,0.7,"(1,2)",0.3,10,10,20,3
Q3,10,3,0.7,"(1,2)",0.3,18,5,15,3
Q4,11,3,0.7,"(1,2)",0.3,18,5,15,3
Q5,12,3,0.7,"(1,2)",0.3,18,5,15,3
Q6,9,1,1.0,"(1,2)",0.3,18,5,12,2
Q7,4,1,1.0,"(1,2)",0.3,22,5,18,3
Q8,14,1,1.0,"(1,2)",0.3,15,5,12,2
Q9,16,1,1.0,"(1,2)",0.3,12,5,10,2
Q10,17,3,0.7,"(1,2)",0.3,18,5,15,3
Q11,15,3,0.7,"(1,2)",0.3,18,5,15,3
