id,section_sis_id,section,attempt,What components of the experiment are clearer now than they were as a participant What questions do you still have for the experimenter Write 3 5 sentences reflecting on the abstract,Paste the response code you received after participating in the graphics experiment here,As of today I am at least 19 years of age,My instructor may share my reflection responses with the researchers in this study,What do you think the purpose of the experiment was,What elements of experimental design such as randomization or the use of a control group do you think were present in the experiment Why,What hypotheses might the experimenter have been testing,What sources of error are involved in this experiment,What variables were examined For each variable identify whether it was quantitative or categorical,In this class you ll be learning about the process of scientific investigation What do you think that process looks like from the perspective of a researcher compared to what it looks like from the perspective of someone in the general public who is a consumer of scientific results Write a paragraph at least 3 5 sentences about how you think science happens,How did the information you gained from the components of this project participation post study reflection extended abstract presentation differ,If you had to hear about this study using only the extended abstract or only the presentation which one would you prefer Which one would be better for determining whether the experiment was well designed,What components were emphasized in the presentation that weren t emphasized in the abstract Why do you think that is,What critiques do you have of this study and its design What would have made the study better,year,semester,experiment
15464f12481fd2057f7a8205a42e03e8,STAT-218-011.1241,1,1,Seeing the marked bar closer and in person rather in screen because its harder when its on screen. Can you ever find the exact answer when working with those graphs. This experiment was kind of to show you how your percentage may change when having to look at it a different way such as in person and on screen. It shows that it does make a difference because it looks different from in person than on screen. It's also kind of to see how close the students can get to getting around the right percentage. It may even see how much better the students do when either looking at the screen or in person and to see what percentage of students prefer each of the scenarios.,40646-92578-95520-71653,TRUE,I agree,To see how accurate the students can be with each of the graphs and if they do better at looking at the screen and guessing or in person.,I think this was a paried control group because the variables were related to each other and they both were related to what the results would be.,Students can have a more accurate response to guessing the percentage looking at it in person than on the computer screen.,There's no results in whether if you were close to the percentage or not and they never got the opinion of the students whether or not if it was easier looking at the screen or in person.,Circle and Triangle graph. Quantitative,I think that’ll look a lot different to a person just in general compared to a person conducting the investigation. That’s because whoever is doing the scientific investigation will be researching facts and finding information about the topic and learning about it while the normal person will look at it one way and one way only because they wouldn’t know anything about it. The general person more and likely wouldn’t know anything about it either so they wouldn’t pay much attention towards it. And I also think the process for the person doing the investigation will be fact checking their information while a general person would find any kind of information and just believe it. ,They gave us charts and information that shows which one of the two ways looking at the bar graphs is more accurate than the other and which one people prefer.,"Extended abstract, extended abstarct",2d and 3d bar graphs because they were trying to see which way was easier to have an accurate response. ,How do you know whether or not your response is accurate if you’re just making an estimate. Giving the answer after each one and then seeing if you were closer looking at it in 2d or 3d,2024,Spring,Bar chart
2800ab155946ad01714a453f448edbae,STAT-218-011.1241,1,1,I think it is clearer that this experiment is about how we perceive different types of dimensional figures. I am still curious as to how they are accounting for bias in the study. I also want to know what the results will be used for.,53670-79351-03305-70518,TRUE,I agree,I think the purpose was to determine is we could imagine the depth online.,I think the control group was the models we had and randomization was in the form of that we didn't know which model we were going to do next.,if we have a handheld model we may be able to tell the size of online models,"It might be a sampling error, also people may accidentally grab the wrong model and list the wrong one.",Model size- quantitative color- categorical,A researcher has to form a hypothesis and create the ramifications for an experiment. A researcher probably must ensure the experiment is carried out concisely and uniformly. They must ensure there aren't any outside variables affecting the outcomes. Also unlike a civilian they probably run the experiment a multitude of times to ensure the results are consistent.,I think the presentation was the easiest to understand. It explained the true meaning of the study in simple terms. When we participated and did the reflection we weren't given any background really at all.,I would prefer to hear about the study from the presentation. The abstract is the better reading material for determining if the experiment is well designed.,I think the presentation emphasized more of the reasons why they brought the study to UNL classes. I think the abstract was supposed to be more about how the study was conducted to be informational.,I think this study has a big possibility for confounding variables because it's only being sent to STAT218 students. A smarter idea could have been sending this study out to all students on campus.,2024,Spring,Bar chart
43c3004415a1e8390ac4e7df8d06a292,STAT-218-011.1241,1,1,"The whole objective of the experiment is more clear now. when I was doing the experiment I was confused about what the whole point of it was because I was just sliding a bar and guessing the height of certain columns but now I understand they wanted to see the difference in the way we perceive 2D, 3D, and 3D printed bar charts. While reading the abstract I was confused because what are radio buttons but for the actual experiment I don't have any questions.",13531-97095-57767-17258,TRUE,I agree,The purpose of the experiment was to determine how different people read graphs.,Randomization was used because we were given different bags with different numbers and maybe some of the bags had different items.,If having different heights affected the way we chose how small or tall it was.,The people who did the experiment could have made errors while doing the experiment.,The height which was quantitative and the other variable was the shape on the model which is categorical.,"The process of scientific investigation is just looking deeper into different experiments and variations. As a researcher, you kinda know what you're looking for in the experiment just based on scientific guesses. As a person in the general public, you do not notice the experiment but experience the result.","During the participation and post-study reflection, I was confused because I still didn't know the purpose of the experiment. Now after watching the presentation and reading the extended abstract, I am less confused about how reading different types of graphs can change how you perceive the graph.",I would prefer the video just because abstracts can be so lung to read and also have confusing words but the video was much simpler. The abstract would probably be better for determining the experiment was well designed.,The component that was emphasized to me was the calculations they did with the 3D graphs. They showed the results for each individual graph.,Maybe to explain the experiment better to the participants I walked in completely blind but I feel like it could have had a more thorough procedure.,2024,Spring,Bar chart
629669a5f6966aac68902888966f15be,STAT-218-011.1241,1,1,NA,12068-97156-84567-38829,TRUE,I agree,NA,NA,NA,NA,NA,I believe that it will consist of the person being researched doing the experiment more than once. To make sure that the results stay consistent. I believe that it will result in the results the need. The consumer i feel like its different i feel like researchers are not only interested in the results but also the process for which they got the results. Consumers are more just about the final product and what the result it and how they can benefit from the research.,NA,NA,NA,NA,2024,Spring,Bar chart
7b3570d08b16b612f899afa0a3bc4801,NA,1,1,NA,NA,TRUE,I agree,NA,NA,NA,NA,NA,I believe that scientific investigation is the. process of thoroughly checking your sources as well as making hypothesis to try and further understand the world we live in. the process is to make sure we are informed and have correct knowledge of our topic. I think science happens through repeated trial and error with the hope of getting the right answer.,NA,NA,NA,NA,2024,Spring,Bar chart
ac84a9f9bf782186eb9d99d16955829e,STAT-218-011.1241,1,1,I better understand the reason why we are looking at the 3D graphs and that it was looking how 2D models compare. I was also curious why only 2 bars of the graph were able to be identified but I understand now that it was on purpose to do that. I was also wondering how many kits there were and if there was different ones and I understand from reading now how many kits there are. One question I had was if the colors could have any impact on how you look at it cause some colors were easier to tell the difference in size for some reason.,59215-97484-23503-99533,TRUE,I agree,I think the purpose of the experiment was to see how our eyes could judge certain sizes or percentages with our naked eye. It was to find statistics on how well we could make an educated guess on the size of the blocks.,Randomization could be each person having different blocks to judge and having to find the size difference between them. A control group was that we all came to the same place to do the experiment and it was a controlled environment.,It might have been testing if boys or girls could tell the percentages of the blocks better than the other. It also could have been testing just how well in general can college students' eyes test the size differences of blocks.,"A source of error that I could think of is some people might have worse eyesight than others. Also, a source of error could be that at the beginning of the experiment it would be easy to be confused on what to judge and it is tough to judge the blocks on a screen.","There were a few variables that were examined, one of them was being able to judge the size difference between the blocks which is quantitative. Another variable could possibly be genders which would be a categorical variable. Also, we are all college students which could be a categorical variable as well.","From the perspective of a researcher the process of scientific investigation is very meticulous and requires many steps to find the answer they are looking for. Researchers identify questions and create hypothesis to design and conduct experiments that collect data to give them an answer of what they are looking for. Researchers engage in experiments and investigation to expand their knowledge in the field they are interested in. From the viewpoint of someone who is a member of the general public, they view scientific investigation differently than a researcher. The perspective of someone who is just in the general public would see scientific investigation much more summarized and just look at the data rather than think of the scientific process that goes into collecting data. The general public wouldn't look at the process that the researcher takes and would get a much more summarized view of what the data looks like. Although both the researcher and general public get the final result of the investigation the researcher takes a much deeper dive into how the data is found compared to someone from the general public   ","Each one had a different way of getting you to understand the study and what it was trying to convey. The abstract was more wordage to tell you what it was about, participation was to actually do the study, presentation was to see a more visual explanation and the reflection helped to look back on what it was really about. ","I think I would have preferred the presentation because of the visual representation and explanation he gives. The abstract was well made but I enjoy listening to people talk about things and he did a better job of explaining to me what it was about compared to the abstract. I think the abstract would do a good job of actually showing if it was well designed though, since it basically explains everything from the beginning to the end.","I think one thing I noticed that was different between the abstract and presentation was that I had more of a visual representation of the study in the presentation than the abstract. Obviously, presentations are digital, so it is easier to put in pictures, but I thought that the visuals of the bar graphs and other diagrams helped me understand more about what the study was really about.",I don't really have any critiques of the study; I thought it was pretty interesting and it was made easy to understand. One thing that could have made it better was to actually see the results from our class that did the study which I thought would have been interesting to see.,2024,Spring,Bar chart
aeba272ceb1baf26b7b4c08fa3ee35cf,STAT-218-011.1241,1,1,"I understand how the conclusion can be drawn between the two age groups. It is fascinating how our answers may differ from what people would've estimated long ago. The only question I have for the researcher is how they address compound variables that would alter result, such as sight clarity or even something like mathematical knowledge. These variables could change what the participant may have said about the graphs.",71781-26136-18827-04857,TRUE,I agree,The purpose of the experiment is to see if random individuals can estimate percentages in the same pattern as previous years.,"Randomness was used by the test subject in picking the order of bar graphs, it could have also been used to determine control percentages (using a random number generator 1-100) for the different graphs used. 

The use of a control group was demonstrated by the older results being compared to current ones. The older data is the control group.",The hypothesis may have been “Do individuals estimate percentages the same as individuals from past years?”,"Some individuals may show bias toward rounding numbers or common numbers used in society (i.e. advertisements that show only 10’s as discounts ( 40% off, 50% off, etc.)).","One variable could’ve been gender (categorical)

another variable may be major (categorical)","On the scientist's side, it starts with an idea. A scientist will first get an idea of something new or how to improve something. The scientist will perform experiments and equations, and through a lot of trial and error, science is founded. The general public's perspective focuses more on results than the process. The general public tends to forget the crucial parts of an experiment and only care about the results.",I didn’t know all of the graphs had a specific ratio. I also didn’t realize there were two research questions that were being tested.,I would prefer the presentation. It makes a lot more sense to hear it from the experts instead of just reading a procedure on a paper. The presentation makes it easier to see if the experiment was well designed because the researcher explains in depth why some assumptions were made or why a particular technique was used.,They talked about the replication of the experiment a lot more. The abstract doesn’t need to concern how close another experiment is to it considering it’s a brief overview of the paper as a whole.,"The only critique I have is that as a participant, it was difficult to discern what the different heights were because there were no markings. If there were markings at like 25,50, and 75, it would have been much easier to estimate the difference. Also, for repetition’s sake, I would make each graph appear different, like instead of just one color, make the different bars colored differently, that way, it’s easy to keep the participants attention.",2024,Spring,Bar chart
bd457d9ded84da8ffc009b90d9b0dadd,STAT-218-011.1241,1,1,"It makes much more sense with what the study is trying to find. At first I was confused about what exactly we were doing. I thought that it was mainly over seeing whether or not a population can be accurate in their perception of perceived ratio of a 3D graph. 

After reading the abstract I much better understand that the goal was to see if 3D graphs, rather than 2D or 3D rendered in 2D are still associated with worse results, or whether or not actual 3D graphs, those not rendered in 2D, actually help the study participants more closely choose the ratio between the triangle and circle bars.

My question for the researcher is if the results show that 3D printed graphs are easier to read/understand than 3D rendered in 2D, what will that entail for the future, and will anything of substance come from it, rather than just stating that 3D graphs are ""better"" than 3D graphs rendered in a 2D manner.",60258-88908-71165-36207,TRUE,I agree,To see whether participants could accurately measure ratio differences using 3D bar charts better or worse than 2D rendered charts knowing that visual depth plays a role.,"random convenience sample for sampling due to just taking a random ""convenience"" sample of all stats 218 students.

I don't think there is any control group as every individual did the experiment by by themselves and there were not placebo or other vehicles controlled by the experiment creators.","""Is there a statistical significant difference in ratio accuracy between using unlabeled 2D bar charts, or unlabeled 3D bar charts in a given population""","Possible bias or selection error within the participants.

One error I also thought of is that if the 3D bar charts don't come out as accurate as the 2D charts, it could skew the results to not be as accurate as desired. So I would classify it as a ""design error""","Each individual graph and what size they were, quantitative

The individual and their selection is a categorical observational unit","Well I have taken stats before so I know that what researches look for is unusual results. We have null and alternative hypothesis to test these and can run a large number of tests and confidence intervals to determine if they hold true. There is a long process to determine what sort of statistics we have, which tests to run on them, and what we are looking for. I will say that I do know and will always remember what my AP stats teacher taught me: ""When P is low, reject the Ho""",NA,NA,NA,NA,2024,Spring,Bar chart
e10940ba21e35ac5beab38226043f386,STAT-218-011.1241,1,1,"The components of the experiment that are clearer now than they were as a participant are the reasonings for the experiment. Going into the expeiment I thought that this was made up by the department, but  see now that this was a replication of an experiment.  The graphics make a lot more sense too.",95833-56990-39309-50410,TRUE,I agree,To do a statistical study on the different results students got from each bag and to see where students chose a different option or not.,"Randomization was used by having each student get randomly assigned ti a different bag of blocks. The control group was students that were taking STATS 218. I think that this was easiest for the experiment so that results were of a similar population,",Whether students with certain block bags got more accurate scores than than other block bags.,"Maybe not all students participated

maybe more students used one type of bag than others","Number of blocks in a bag: quantitive

whether a student participated or not: caregorical","From the prospective of a researcher, I think that the process of scientific investigation looks a lot like researching, collecting data, and finding a conclusion. To a researcher I think that this would be lots more work than someone in the general public or a consumer. A scientist would need to investigate, formulate a hypothesis, collect data, and then figure out conclusions based on what they found. Much more work to be done as a scientist than a consumer, but could be more fun too.","The information that I gained from the components of this project differs when looking at participation and post-study reflection. With both of these I think I was clueless about the study going into it and now that it is over I see the what and why. I also think that the extended abstract and the presentation differ because the way that the experiment was presented to us seemed very simple, yet the abstract of the behind the scenes was much more complicated I think.","I think that I liked hearing about this study through the presentation. I thought that it was more engaging. Yet, I think that the extended abstract was more informational in looking more like a study, so that one might be better for determining whether the experiment was well designed.",The components that were emphasized in the presentation that weren't emphasized in the abstract were the background of the 3D graphics and Cleveland and McGill. I think that the purpose of this experiment was to have us going in blind. I think this is because it might ruin the experiment if we knew what and why we were measuring and placing the 3D graphics in the experiment. ,A critique that I think might have made this study better would be to possibly do a second round of the same students with different 3D graphics. This might give a larger range of answers. It also might show an increase in students' ability to answer the questions quicker.,2024,Spring,Bar chart
03ddc01c8e0322900ff341a10a5a2bd6,STAT-218-003.1241,10,1,"It is more clear what the researchers are testing, visual depth when it comes to 2D projections versus 3D printed charts. Also, I wasn't sure where there was randomization in this experiment but it is now clear that the two marked bars are a part of the randomization as well as randomly assigned kits. This is also a replication of another study done by Cleveland and McGill. One question I feel is still unclear is if the researchers are comparing the 2D estimates to the 3D rendered image results, or the physical 3D model. ",18701-47253-32463-42161,TRUE,I agree,I believe the purpose of this experiment was to test whether or not having a physical model of the bar charts allow people to better estimate their size.,"There were different bags of models, that people used at random. This was most likely to have some factor of randomization. ","Ho: People will guess the size difference of bars on a bar chart the same using a physical model versus an online model.

Ha: People will more accurately guess the size difference of bars on a bar chart using a physical model over an online model.","People may be guessing, without taking much thought or speeding through the experiment. It also may be hard for certain people to make these guesses, if they aren't spatially aware. ","Size difference in the two bars, quantitative

Physical or online bar chart, categorical","A researcher will be the one performing the investigation and wants to know the results of said investigation in order to make a conclusion and take that into account for their research. Someone in the general public who is a consumer of scientific results is not going to take the information they learn from the scientific investigation further - because it is most likely not something they are researching on. The researcher is going to be very tedious and careful with their investigation, while someone in the general public may not be because it is less important to them. ","I felt when I was participating, I wasn't exactly sure what was being tested. As I completed the post-study reflection, and watched the presentation reflection, I got a better idea. At first, I thought the experimenters were testing to see if 3D models gave a more accurate result, but after watching the presentation I now know they were testing to see if 2D models have more accurate results. ","I preferred the presentation. I felt like it easily laid out the different aspects of the experiment, in a simple way. I also felt that it was much easier to follow than the abstract presentation. In the abstract, I felt there was some unneeded information. ","One thing that I think was more emphasized in the presentation was the study design, and how the treatment combinations were set up. I think this is because for this specific experiment, there were originally 42 treatment combinations, which would not have been ideal for the subjects. ","I think having a very clear introduction into a little bit of what the research is, would help. I felt a little confused when I was filling out the survey/experiment. ",2024,Spring,Bar chart
