"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"1","9bd293f2adc61999c0898cf460d02eea","STAT-218-700.1235","I agree","TRUE","I think that the process of a scientific investigation should be meticulous. From the perspective of a researcher, it must be rule-based and lack bias as much as possible. The process itself must stem from a probable hypothesis and the discussion portion of the article must contain the limitations, threats, and confounds that existed in the process. From the perspective of someone in the general public, it must be peer-reviewed, draw information from existing data, and be written in a way that is easily comprehensible to consumers of scientific results.","reelection-doshas-amphictyonic-doomsdayer","I thought that the purpose of the experiment may have been to study people's depth perception.","Null hypothesis: The average depth perception of the population is equal to 0.

Alternative hypothesis: The average depth perception of the population is not equal to 0.","A type I error could occur if the null hypothesis was rejected when it was actually true. A type II error could occur if the null hypothesis was not rejected and it was false.","Independent variable: which bar was shorter- categorical

Dependent variable: how much shorter was the bar compared to the larger bar- quantitative","I do believe that randomization was used in the experiment as we were told to choose a random number, and the graphs given to us were in no particular order. Since it was hard to apply random sampling to this study, (the participants were volunteers), the use of random assignment was essential to make this a true experimental design.",NA,NA,NA,NA,NA
"1","a1f050d51d276737ea98653755b43050","STAT-218-700.1235","I agree","TRUE","From the perspective of a researcher, the process of scientific investigation is the six-step method we discussed in class. It involves forming a question, coming up with a hypothesis, testing ideas, coming to conclusions, and repeating the process over again. For a researcher, the scientific process involves answering the question. Alternatively, the scientific process of the general public involves uncovering the answer. Instead of forming hypotheses from questions, the general public turns to present literature to determine an answer. If they are not satisfied, they continue to search through more previously published results until they answer the question. ","reckonings-overstimulates-desquamate-nonintervention","The purpose of the experiment was to determine how surrounding influences and proximity affect how one perceives objects. ","H0: There is no correlation between proximity and accuracy of size prediction.

HA: There is a correlation between proximity and accuracy of size prediction.","Misunderstanding of task, technical issues","Which bar is smaller - categorical

how much smaller was one bar compared to the other - quantitative ","Randomization was present - the order in which the questions were shown is likely randomized, as was the amount of 2D vs. 3D visuals. 

There was likely no control group present, since each participant would have had to answer all questions, meaning there was no way for the variables to not be manipulated. ",NA,NA,NA,NA,NA
"1","7a925f30efd43a30f75fd2f32918b6e3","STAT-218-700.1235","I agree","TRUE","The scientific process from the perspective of a researcher is more complex than the perspective from the general public. Researchers often have knowledge of how to properly conduct research and find true and reliable answers to research questions. Researchers are often viewed by the public as educated and knowledgeable individuals that are working to provided true and reliable knowledge to the public. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","7cd6875443d941e3daac9234ae1b2ba1","STAT-218-700.1235","I agree","TRUE","I think the process looks like brainstorming a question that you want to test out. Considering ways to solve the problem without actually solving it. Once you think of the question you think about how to solve it. Then you actually try to solve the problem. Once we solve the problem we need to analyze the solution.","pongiest-sweller-difficulty-mohelim","The purpose was to test out if people can tell the difference in sizes from a 2D to a 3D model.","The hypothesis could of been seeing if people with some undergraduate courses could tell the difference between the 2d and 3d model from ages 19-25 better than all other demographics.","Some sources of error are that some people might take to more seriously than others and it could affect the data that you get. Eye sight could be another factor in this as well.","The variables was which one of the circle and the triangle was smaller, and also by how much it was smaller. The circle or triangle is categorical and the how much smaller is a percentage so its quantitative.","Randomization was used in the kit number because it determined the questions that were asked.",NA,NA,NA,NA,NA
"1","97bb19308940b13fa9f43bb05031f9bf","STAT-218-700.1235","I agree","TRUE","through my  entire life science was always a mystery me. I always asked myself how were people smart enough to come up with results in there researches ? But I believe science happens through curiosity  ","bilges-talkier-contusion-enjambements","my iq","how do you compare sizes","the comparisons","size of the bar if it was smaller or larger - categorical","random students in the stats class",NA,NA,NA,NA,NA
"1","6f3518470102f006846279ad709acc01","STAT-218-700.1235","I agree","TRUE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1b082272b47ddefb964f02c6d0d9d264","STAT-218-700.1235","I agree","TRUE",NA,"nana-sing-serotine-mudflaps","To identify which object was larger/smaller and estimate how much larger and or smaller.","The experimenter could have been testing the hypotheses that circle will be smaller more times then triangle.","The I thi","The variable of which shape was smaller or larger. (quantitative)","The element of the experimental design that  randomization or the use of a control group that were present in the experiment was how it asked to slide to smaller or larger.",NA,NA,NA,NA,NA
"1","0f4dc80ea95fb8b26813d0ad513642a9","STAT-218-700.1235","I agree","TRUE","The science happens with finding out the formula about the question. I believe finding out the formula will help you with the reject or fail to reject. This helped a lot about finding the process of scientific investigation. ","turban-inbeing-sidecars-disguisedly","A purpose of the experiment is to test a hypothesis.","Based on observations ","Measurements outcome of a experiment ","variables where the data represent groups.","It’s presented after you find the hypothesis ",NA,NA,NA,NA,NA
"1","6e6ab1ec702e97a42fb4f69b6675ac62","STAT-218-700.1235","I agree","TRUE","I think science happens through the scientific method, which I believe begins with observation, then hypothesis, then experimentation, then analysis/conclusions, and finally peer review. Throughout the cycle of discovery many researchers take steps backwards in the process to ensure they are making the correct conclusions. Experimentation also can take many different forms, including data analysis from a survey or creating an experiment that takes place in a lab. ","monobasic-awfullest-intoxication-ladle","To determine how people view graphs and the most effective graph to show data. ","I believe the hypothesis could be that people understand the difference between values on a 2D graph than a 3D graph. ","One source of error is human perception and the inconsistency that comes with using people in experiments. ","The variables that are examined is which column is bigger, which is categorical, and the difference of value between the columns, which is quantitative. ","The use of a control group was present in this experiment seeing as it was sent to students who have experience in statistics. Assuming the experiment was only sent to STATS 218 students, there was not randomization. ",NA,NA,NA,NA,NA
"1","6e1bee8c5e7172edb611fd6a048e6e29","STAT-218-700.1235","I agree","TRUE","Science happens by analyzing an extremity and conducting experiments while recording them. They let us see what causes variables in the experiment and what they could mean. The science helps define the causes for results of experiments.","Completion code
---------------","The purpose of the experiment was to see if you could see the shapes in the structures or not.","They were probably testing which shape was easier to see between both.","If the participants can't see both shapes.","Categorical  triangle or circle","Control group was present because the shapes didn't change but everything else in the experiment did. ",NA,NA,NA,NA,NA
